cnae,descricao,risco,observacoes
4711-3/02,Comércio varejista de mercadorias em geral - supermercados,Médio,
4721-1/02,Padaria e confeitaria com predominância de revenda,Alto,
5611-2/01,Restaurantes e similares,Alto,
5611-2/03,Lanchonetes sucos e similares,Médio,
4781-4/00,Comércio varejista de artigos do vestuário,Baixo,
6920-6/01,Atividades de contabilidade,Baixo,
8630-5/03,Atividade médica ambulatorial,Alto,
9602-5/01,Cabeleireiros manicure e pedicure,Médio,
4530-7/03,Comércio a varejo de peças automotivas,Baixo,
8599-6/04,Treinamento em desenvolvimento profissional,Baixo,
