cnae,descricao,exige_licenca,nivel,fonte
4711-3/02,Supermercados,SIM,Municipal,ANVISA RDC nº 216
4721-1/02,Padaria e confeitaria,SIM,Municipal,ANVISA RDC nº 216
5611-2/01,Restaurantes,SIM,Municipal,ANVISA RDC nº 216
5611-2/03,Lanchonetes,SIM,Municipal,ANVISA RDC nº 216
8630-5/03,Atividade médica ambulatorial,SIM,Estadual,VISA Estadual
9602-5/01,Salões de beleza,SIM,Municipal,VISA Municipal
4781-4/00,Vestuário,NAO,,
6920-6/01,Contabilidade,NAO,,
4530-7/03,Peças automotivas,NAO,,
8599-6/04,Treinamentos,NAO,,
